key,value
"All Other Offenses",25639204
"Drug/Narcotic Offenses",25483199
"Simple Assault",8900916
"Drive Under the Influence",7865774
"Larceny",7579634
"Aggravated Assault",3173301
"Disorderly Conduct",2764822
"Drunkenness",2106309
"Liquor Law Violations",1547510
"Destruction/Damage/Vandalism of Property",1542099
"Burglary",1508608
"Weapon Law Violations",1383227
"Fraud Offenses",951566
"Stolen Property Offenses",753234
"Motor Vehicle Theft",701181
"Robbery",691888
"Family Offenses, Nonviolent",670869
"Counterfeiting/Forgery",385743
"Vagrancy/Loitering",374802
"Sex Offenses, Non-forcible",346880
"Prostitution Offenses",270822
"Sex Offenses",193896
"Homicide Offenses",114842
"Embezzlement",112926
"Arson",79419
"Gambling Offenses",41042
"Suspicion",7793
"Human Trafficking",4347
"Runaway",0
